FeatureCode,DateCode,Measurement,Units,Value,Scottish Health Survey Indicator,Sex
S08000017,2016-2019,Percent,Percent Of Adults,26,Life satisfaction: Mode (8),All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,66.7,Overweight: Overweight (including obese),All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,67.5,Self-assessed general health: Very good/Good,All
S08000019,2016-2019,Percent,Percent Of Adults,5,Summary activity levels: Low activity,All
S08000019,2015-2018,Percent,Percent Of Adults,32,Obesity: Obese,All
S08000017,2015-2018,Percent,Percent Of Adults,72,Fruit & vegetable consumption: Less than 5 portions,All
S08000019,2015-2018,Percent,Percent Of Adults,10,Self-assessed general health: Bad/Very bad,All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,82.3,Any cardiovascular condition: No cardiovascular condition,All
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,22.5,Summary activity levels: Very low activity,All
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,87.1,Any cardiovascular condition: No cardiovascular condition,All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,1.1,Summary activity levels: Low activity,All
S08000017,2016-2019,Percent,Percent Of Adults,9,Fruit & vegetable consumption: None,All
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,3.9,Summary activity levels: Low activity,All
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,7.1,Summary activity levels: Low activity,All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,12.2,Fruit & vegetable consumption: None,All
S08000019,2016-2019,Mean,WEMWBS Score,49.5,Mental wellbeing,All
S08000019,2016-2019,95% Lower Confidence Limit,WEMWBS Score,48.8,Mental wellbeing,All
S08000019,2016-2019,95% Upper Confidence Limit,WEMWBS Score,50.1,Mental wellbeing,All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,75.5,E-cigarette use: Never used,All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,6,Fruit & vegetable consumption: None,All
S08000019,2015-2018,Percent,Percent Of Adults,35,Long-term illness: Limiting long-term illness,All
S08000017,2016-2019,Percent,Percent Of Adults,70,Fruit & vegetable consumption: Less than 5 portions,All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,75.2,Fruit & vegetable consumption: Less than 5 portions,All
S08000017,2016-2019,Percent,Percent Of Adults,14,General health questionnaire (GHQ-12): Score 4+,All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,65.7,Fruit & vegetable consumption: Less than 5 portions,All
S08000019,2016-2019,Percent,Percent Of Adults,11,Summary activity levels: Some activity,All
S08000017,2016-2019,Mean,Portions of fruit & vegetables,3.2,Fruit & vegetable consumption (mean daily portions),All
S08000017,2016-2019,Percent,Percent Of Adults,16,Any cardiovascular condition: Has a cardiovascular condition,All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,10.6,"Provide any regular help or care for any sick, disabled or frail person: Yes",All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,19.4,Any cardiovascular condition: Has a cardiovascular condition,All
S08000019,2016-2019,Percent,Percent Of Adults,13,"Provide any regular help or care for any sick, disabled or frail person: Yes",All
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,38.7,Long-term illness: Limiting long-term illness,All
S08000017,2015-2018,Percent,Percent Of Adults,54,Smoking status: Never smoked/Used to smoke occasionally,All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,10.8,"Provide any regular help or care for any sick, disabled or frail person: Yes",All
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,15.2,"Provide any regular help or care for any sick, disabled or frail person: Yes",All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,14.6,Smoking status: Current smoker,All
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,31.6,Long-term illness: Limiting long-term illness,All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,9.8,General health questionnaire (GHQ-12): Score 4+,All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,26.6,Life satisfaction: Mode (8),All
S08000017,2016-2019,Percent,Percent Of Adults,19,Smoking status: Current smoker,All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,23.6,Smoking status: Current smoker,All
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,28.2,Smoking status: Used to smoke regularly,All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,51.2,Long-term illness: No long-term illness,All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,22.5,Smoking status: Used to smoke regularly,All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,67.7,Fruit & vegetable consumption: Less than 5 portions,All
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,77.1,Fruit & vegetable consumption: Less than 5 portions,All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,77.1,Overweight: Overweight (including obese),All
S08000019,2015-2018,Percent,Percent Of Adults,15,Long-term illness: Non-limiting long-term illness,All
S08000016,2015-2018,95% Lower Confidence Limit,Percent Of Adults,46.8,Long-term illness: No long-term illness,All
S08000016,2015-2018,95% Upper Confidence Limit,Percent Of Adults,56.7,Long-term illness: No long-term illness,All
S08000016,2015-2018,95% Lower Confidence Limit,Percent Of Adults,9.3,Summary activity levels: Some activity,All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,12.3,Long-term illness: Non-limiting long-term illness,All
S08000016,2015-2018,95% Lower Confidence Limit,Percent Of Adults,4.2,Self-assessed general health: Bad/Very bad,All
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,23,Self-assessed general health: Fair,All
S08000016,2015-2018,Percent,Percent Of Adults,35,Overweight: Not overweight or obese,All
S08000016,2015-2018,95% Upper Confidence Limit,Percent Of Adults,39.9,Overweight: Not overweight or obese,All
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,28.1,General health questionnaire (GHQ-12): Score 1-3,All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,21.7,General health questionnaire (GHQ-12): Score 1-3,All
S08000016,2015-2018,Percent,Percent Of Adults,52,Long-term illness: No long-term illness,All
S08000019,2016-2019,Percent,Percent Of Adults,10,E-cigarette use: Ever previously used,All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,32.1,Long-term illness: Limiting long-term illness,All
S08000019,2016-2019,Percent,Percent Of Adults,35,Long-term illness: Limiting long-term illness,All
S08000019,2015-2018,Percent,Percent Of Adults,11,E-cigarette use: Ever previously used,All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,52.9,Smoking status: Never smoked/Used to smoke occasionally,All
S08000016,2015-2018,95% Lower Confidence Limit,Percent Of Adults,29.4,Overweight: Not overweight or obese,All
S08000016,2016-2019,95% Lower Confidence Limit,Percent Of Adults,22.5,Life satisfaction: Mode (8),All
S08000016,2016-2019,Percent,Percent Of Adults,28,Obesity: Obese,All
S08000016,2015-2018,95% Lower Confidence Limit,Percent Of Adults,16.4,Summary activity levels: Very low activity,All
S08000019,2015-2018,95% Lower Confidence Limit,Units of alcohol,13.4,Alcohol consumption (mean weekly units),All
S08000016,2015-2018,Percent,Percent Of Adults,6,Self-assessed general health: Bad/Very bad,All
S08000016,2016-2019,95% Lower Confidence Limit,Percent Of Adults,23.5,Obesity: Obese,All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,11,Doctor-diagnosed asthma: Yes,All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,7.9,E-cigarette use: Ever previously used,All
S08000016,2015-2018,Percent,Percent Of Adults,70,Fruit & vegetable consumption: Less than 5 portions,All
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,12.4,E-cigarette use: Ever previously used,All
S08000016,2016-2019,Percent,Percent Of Adults,27,Life satisfaction: Mode (8),All
S08000019,2015-2018,95% Upper Confidence Limit,Units of alcohol,17.8,Alcohol consumption (mean weekly units),All
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,59.7,Smoking status: Never smoked/Used to smoke occasionally,All
S08000016,2015-2018,95% Lower Confidence Limit,Percent Of Adults,13.7,Smoking status: Current smoker,All
S08000016,2015-2018,Percent,Percent Of Adults,17,Smoking status: Current smoker,All
S08000016,2016-2019,95% Lower Confidence Limit,Percent Of Adults,16.2,Any cardiovascular condition: Has a cardiovascular condition,All
S08000019,2015-2018,95% Upper Confidence Limit,Portions of fruit & vegetables,3.3,Fruit & vegetable consumption (mean daily portions),All
S08000019,2015-2018,Percent,Percent Of Adults,15,Any cardiovascular condition: Has a cardiovascular condition,All
S08000019,2016-2019,Percent,Percent Of Adults,60,General health questionnaire (GHQ-12): Score 0,All
S08000016,2016-2019,95% Upper Confidence Limit,Percent Of Adults,36.1,Long-term illness: Limiting long-term illness,All
S08000016,2015-2018,95% Upper Confidence Limit,Percent Of Adults,21.2,Smoking status: Current smoker,All
S08000019,2015-2018,Mean,Portions of fruit & vegetables,3.1,Fruit & vegetable consumption (mean daily portions),All
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,7.4,Self-assessed general health: Bad/Very bad,All
S08000016,2016-2019,95% Upper Confidence Limit,Percent Of Adults,24.1,Any cardiovascular condition: Has a cardiovascular condition,All
S08000019,2015-2018,95% Lower Confidence Limit,Portions of fruit & vegetables,2.9,Fruit & vegetable consumption (mean daily portions),All
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,72.3,Obesity: Not obese,All
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,4.4,E-cigarette use: Currently using,All
S08000016,2016-2019,Percent,Percent Of Adults,20,Any cardiovascular condition: Has a cardiovascular condition,All
S08000019,2016-2019,Percent,Percent Of Adults,13,Doctor-diagnosed asthma: Yes,All
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,63.4,General health questionnaire (GHQ-12): Score 0,All
S08000016,2015-2018,95% Lower Confidence Limit,Percent Of Adults,65.7,Fruit & vegetable consumption: Less than 5 portions,All
S08000016,2015-2018,95% Lower Confidence Limit,Units of alcohol,9.1,Alcohol consumption (mean weekly units),All
S08000016,2015-2018,95% Upper Confidence Limit,Percent Of Adults,74.7,Fruit & vegetable consumption: Less than 5 portions,All
S08000016,2016-2019,95% Upper Confidence Limit,Percent Of Adults,22.8,Summary activity levels: Very low activity,All
S08000019,2016-2019,Percent,Percent Of Adults,69,Obesity: Not obese,All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,65.1,Obesity: Not obese,All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,17.6,Self-assessed general health: Fair,All
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,16.9,Long-term illness: Non-limiting long-term illness,All
S08000019,2016-2019,Percent,Percent Of Adults,15,Long-term illness: Non-limiting long-term illness,All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,56.3,General health questionnaire (GHQ-12): Score 0,All
S08000016,2016-2019,95% Lower Confidence Limit,Percent Of Adults,29.7,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All
S08000016,2016-2019,Percent,Percent Of Adults,34,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All
S08000016,2015-2018,Percent,Percent Of Adults,20,Summary activity levels: Very low activity,All
S08000016,2015-2018,95% Upper Confidence Limit,Percent Of Adults,22.5,Long-term illness: Non-limiting long-term illness,All
S08000019,2015-2018,Percent,Percent Of Adults,26,General health questionnaire (GHQ-12): Score 1-3,All
S08000016,2015-2018,95% Upper Confidence Limit,Percent Of Adults,24.1,Summary activity levels: Very low activity,All
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,53.6,Long-term illness: No long-term illness,All
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,23,General health questionnaire (GHQ-12): Score 1-3,All
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,17.9,Fruit & vegetable consumption: 5 portions or more,All
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,17.5,Long-term illness: Non-limiting long-term illness,All
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,12.4,Long-term illness: Non-limiting long-term illness,All
S08000019,2015-2018,Mean,Units of alcohol,15.6,Alcohol consumption (mean weekly units),All
S08000016,2015-2018,95% Upper Confidence Limit,Percent Of Adults,79.1,Self-assessed general health: Very good/Good,All
S08000016,2015-2018,Percent,Percent Of Adults,19,Long-term illness: Non-limiting long-term illness,All
S08000016,2015-2018,Percent,Percent Of Adults,75,Self-assessed general health: Very good/Good,All
S08000019,2015-2018,Percent,Percent Of Adults,21,Fruit & vegetable consumption: 5 portions or more,All
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,24,Fruit & vegetable consumption: 5 portions or more,All
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,46.1,Long-term illness: No long-term illness,All
S08000017,2016-2019,Percent,Percent Of Adults,62,General health questionnaire (GHQ-12): Score 0,All
S08000019,2015-2018,95% Upper Confidence Limit,WEMWBS Score,50.7,Mental wellbeing,All
S08000016,2016-2019,Percent,Percent Of Adults,54,Long-term illness: No long-term illness,All
S08000016,2015-2018,Mean,Units of alcohol,10.7,Alcohol consumption (mean weekly units),All
S08000019,2015-2018,Mean,WEMWBS Score,50,Mental wellbeing,All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,10.1,Long-term illness: Non-limiting long-term illness,All
S08000019,2015-2018,95% Lower Confidence Limit,WEMWBS Score,49.3,Mental wellbeing,All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,16.9,Long-term illness: Non-limiting long-term illness,All
S08000016,2016-2019,95% Upper Confidence Limit,Percent Of Adults,31.2,Life satisfaction: Mode (8),All
S08000016,2016-2019,95% Lower Confidence Limit,Percent Of Adults,49.2,Long-term illness: No long-term illness,All
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,14.2,E-cigarette use: Ever previously used,All
S08000016,2016-2019,95% Upper Confidence Limit,Percent Of Adults,59,Long-term illness: No long-term illness,All
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,8.3,E-cigarette use: Ever previously used,All
S08000016,2016-2019,95% Upper Confidence Limit,Percent Of Adults,39.2,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All
S08000016,2015-2018,95% Lower Confidence Limit,Percent Of Adults,70.7,Self-assessed general health: Very good/Good,All
S08000016,2015-2018,95% Upper Confidence Limit,Percent Of Adults,8.8,Self-assessed general health: Bad/Very bad,All
S08000019,2015-2018,Percent,Percent Of Adults,5,Summary activity levels: Low activity,All
S08000016,2015-2018,95% Lower Confidence Limit,Percent Of Adults,14.8,Long-term illness: Non-limiting long-term illness,All
S08000016,2016-2019,95% Upper Confidence Limit,Percent Of Adults,17.7,Long-term illness: Non-limiting long-term illness,All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,31,Overweight: Not overweight or obese,All
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,38.8,Overweight: Not overweight or obese,All
S08000016,2015-2018,95% Upper Confidence Limit,Percent Of Adults,16.1,Summary activity levels: Some activity,All
S08000019,2016-2019,Percent,Percent Of Adults,35,Overweight: Not overweight or obese,All
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,59.4,Smoking status: Never smoked/Used to smoke occasionally,All
S08000016,2016-2019,95% Lower Confidence Limit,Percent Of Adults,34,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All
S08000016,2016-2019,95% Upper Confidence Limit,Percent Of Adults,33.4,Obesity: Obese,All
S08000016,2016-2019,95% Upper Confidence Limit,Percent Of Adults,43.4,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All
S08000019,2016-2019,Percent,Percent Of Adults,56,Smoking status: Never smoked/Used to smoke occasionally,All
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,30.9,Alcohol consumption: Hazardous/Harmful drinker,All
S08000016,2016-2019,95% Lower Confidence Limit,Percent Of Adults,11.1,Long-term illness: Non-limiting long-term illness,All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,64.8,Fruit & vegetable consumption: Less than 5 portions,All
S08000019,2016-2019,Percent,Percent Of Adults,25,General health questionnaire (GHQ-12): Score 1-3,All
S08000016,2015-2018,95% Upper Confidence Limit,Percent Of Adults,19.9,General health questionnaire (GHQ-12): Score 4+,All
S08000016,2015-2018,95% Lower Confidence Limit,Percent Of Adults,12,General health questionnaire (GHQ-12): Score 4+,All
S08000019,2016-2019,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,All
S08000016,2015-2018,Percent,Percent Of Adults,16,General health questionnaire (GHQ-12): Score 4+,All
S08000016,2016-2019,95% Upper Confidence Limit,Percent Of Adults,11.1,Self-assessed general health: Bad/Very bad,All
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,71.3,Fruit & vegetable consumption: Less than 5 portions,All
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,82.1,Any cardiovascular condition: No cardiovascular condition,All
S08000019,2015-2018,Percent,Percent Of Adults,85,Any cardiovascular condition: No cardiovascular condition,All
S08000016,2016-2019,Percent,Percent Of Adults,39,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,87.2,Any cardiovascular condition: No cardiovascular condition,All
S08000016,2016-2019,Percent,Percent Of Adults,14,Long-term illness: Non-limiting long-term illness,All
S08000019,2016-2019,Percent,Percent Of Adults,25,Smoking status: Used to smoke regularly,All
S08000016,2015-2018,Percent,Percent Of Adults,13,Summary activity levels: Some activity,All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,15.3,Alcohol consumption: Hazardous/Harmful drinker,All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,15.9,Summary activity levels: Very low activity,All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,4,E-cigarette use: Currently using,All
S08000017,2015-2018,Mean,Units of alcohol,9.7,Alcohol consumption (mean weekly units),All
S08000017,2016-2019,Percent,Percent Of Adults,28,Overweight: Not overweight or obese,All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,78,Doctor-diagnosed asthma: No,All
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,14.9,Long-term illness: Non-limiting long-term illness,All
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,26.9,Summary activity levels: Very low activity,All
S08000017,2016-2019,Percent,Percent Of Adults,21,Alcohol consumption: Hazardous/Harmful drinker,All
S08000017,2015-2018,Percent,Percent Of Adults,7,E-cigarette use: Currently using,All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,16.4,Alcohol consumption: Hazardous/Harmful drinker,All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,24.7,Alcohol consumption: Hazardous/Harmful drinker,All
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,12.3,Self-assessed general health: Bad/Very bad,All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,23.7,Summary activity levels: Very low activity,All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,27.3,Long-term illness: Limiting long-term illness,All
S08000017,2015-2018,Percent,Percent Of Adults,19,Alcohol consumption: Hazardous/Harmful drinker,All
S08000017,2016-2019,Percent,Percent Of Adults,86,"Provide any regular help or care for any sick, disabled or frail person: No",All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,86.5,Doctor-diagnosed asthma: No,All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,15.9,Alcohol consumption: Non-drinker,All
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,23.5,Alcohol consumption: Hazardous/Harmful drinker,All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,82.4,"Provide any regular help or care for any sick, disabled or frail person: No",All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,9.4,Alcohol consumption: Non-drinker,All
S08000017,2016-2019,Percent,Percent Of Adults,3,Summary activity levels: Low activity,All
S08000017,2016-2019,Percent,Percent Of Adults,13,Alcohol consumption: Non-drinker,All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,37.7,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,33.3,Overweight: Not overweight or obese,All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,22.9,Overweight: Not overweight or obese,All
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,16.9,E-cigarette use: Ever previously used,All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,18.7,Summary activity levels: Very low activity,All
S08000017,2015-2018,Percent,Percent Of Adults,12,Long-term illness: Non-limiting long-term illness,All
S08000017,2016-2019,Percent,Percent Of Adults,32,Long-term illness: Limiting long-term illness,All
S08000017,2016-2019,Percent,Percent Of Adults,55,Long-term illness: No long-term illness,All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,76.2,E-cigarette use: Never used,All
S08000017,2016-2019,Percent,Percent Of Adults,80,E-cigarette use: Never used,All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,49.4,Long-term illness: No long-term illness,All
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,22.7,Smoking status: Current smoker,All
S08000017,2016-2019,Percent,Percent Of Adults,33,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,84.8,"Provide any regular help or care for any sick, disabled or frail person: No",All
S08000019,2016-2019,Percent,Percent Of Adults,33,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All
S08000019,2015-2018,Percent,Percent Of Adults,15,Alcohol consumption: Non-drinker,All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,30.4,Life satisfaction: Mode (8),All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,29.7,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,89.2,"Provide any regular help or care for any sick, disabled or frail person: No",All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,19.6,General health questionnaire (GHQ-12): Score 1-3,All
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,66.2,General health questionnaire (GHQ-12): Score 0,All
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,35.8,Obesity: Obese,All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,84.6,E-cigarette use: Never used,All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,36.7,Long-term illness: Limiting long-term illness,All
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,61.2,Overweight: Overweight (including obese),All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,6.6,Self-assessed general health: Bad/Very bad,All
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,9.9,E-cigarette use: Currently using,All
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,69.7,Overweight: Overweight (including obese),All
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,27.9,Obesity: Obese,All
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,16.6,Self-assessed general health: Fair,All
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,61.1,Overweight: Overweight (including obese),All
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,69,Overweight: Overweight (including obese),All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,27.9,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All
S08000017,2016-2019,Percent,Percent Of Adults,24,General health questionnaire (GHQ-12): Score 1-3,All
S08000017,2016-2019,Percent,Percent Of Adults,82,Doctor-diagnosed asthma: No,All
S08000019,2015-2018,Percent,Percent Of Adults,65,Overweight: Overweight (including obese),All
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,17.4,General health questionnaire (GHQ-12): Score 4+,All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,6.1,Summary activity levels: Some activity,All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,9.7,General health questionnaire (GHQ-12): Score 4+,All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,74,Self-assessed general health: Very good/Good,All
S08000017,2015-2018,Percent,Percent Of Adults,72,Overweight: Overweight (including obese),All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,8.5,Long-term illness: Non-limiting long-term illness,All
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,23.1,Fruit & vegetable consumption: 5 portions or more,All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,29,General health questionnaire (GHQ-12): Score 1-3,All
S08000017,2016-2019,Percent,Percent Of Adults,26,Smoking status: Used to smoke regularly,All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,21.3,Smoking status: Used to smoke regularly,All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,14.7,Fruit & vegetable consumption: 5 portions or more,All
S08000017,2015-2018,Percent,Percent Of Adults,28,Overweight: Not overweight or obese,All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,1.3,Summary activity levels: Low activity,All
S08000017,2015-2018,Percent,Percent Of Adults,14,General health questionnaire (GHQ-12): Score 4+,All
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,76.9,Overweight: Overweight (including obese),All
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,36.7,Long-term illness: Limiting long-term illness,All
S08000017,2016-2019,Percent,Percent Of Adults,8,Self-assessed general health: Bad/Very bad,All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,27.4,Long-term illness: Limiting long-term illness,All
S08000017,2015-2018,Percent,Percent Of Adults,15,Any cardiovascular condition: Has a cardiovascular condition,All
S08000017,2015-2018,Percent,Percent Of Adults,16,Alcohol consumption: Non-drinker,All
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,5.7,Self-assessed general health: Bad/Very bad,All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,12.8,Alcohol consumption: Non-drinker,All
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,20.2,Alcohol consumption: Non-drinker,All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,12,Any cardiovascular condition: Has a cardiovascular condition,All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,66.2,Overweight: Overweight (including obese),All
S08000017,2015-2018,Percent,Percent Of Adults,85,Any cardiovascular condition: No cardiovascular condition,All
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,81.1,Any cardiovascular condition: No cardiovascular condition,All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,30.1,Smoking status: Used to smoke regularly,All
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,18.9,Any cardiovascular condition: Has a cardiovascular condition,All
S08000017,2015-2018,Percent,Percent Of Adults,19,Fruit & vegetable consumption: 5 portions or more,All
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,29.6,Smoking status: Used to smoke regularly,All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,17.6,"Provide any regular help or care for any sick, disabled or frail person: Yes",All
S08000017,2016-2019,Percent,Percent Of Adults,14,"Provide any regular help or care for any sick, disabled or frail person: Yes",All
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,11.3,Self-assessed general health: Bad/Very bad,All
